,lng,lat,date,customdate,time,crime,barangay,city,modus,time_bin,day,1_nearest_feature,1_nearest_feature_distance,2_nearest_feature,2_nearest_feature_distance,3_nearest_feature,3_nearest_feature_distance,4_nearest_feature,4_nearest_feature_distance,5_nearest_feature,5_nearest_feature_distance
13,125.802,7.445010000000001,01/08/2017,"Tue - Aug 1, 2017",16:45:00,THEFT,Magugpo South,Tagum City,Salisi,16:00 - 16:59,Tuesday,Highway Residential,30,Highway Tertiary,60,Bar,80,Church,80,Commercial Building,80
14,125.806,7.446219999999999,01/08/2017,"Tue - Aug 1, 2017",9:40:00,THEFT,Magugpo Poblacion,Tagum City,Salisi,09:00 - 09:59,Tuesday,Greenfield,10,Highway Tertiary,20,Commercial Building,60,Hotel,60,Community Center,90
15,125.68,7.28751,02/08/2017,"Wed - Aug 2, 2017",11:30:00,Drug Related Incident (RA 9165),Cagangohan,Panabo City,Not Indicated,11:00 - 11:59,Wednesday,Commercial Building,10,Residential Building,60,Highway Residential,70,Highway,120,,
16,125.671,7.2965100000000005,02/08/2017,"Wed - Aug 2, 2017",15:35:00,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,Not Indicated,15:00 - 15:59,Wednesday,Commercial Building,40,Highway Residential,60,Residential Building,80,Road,150,,
17,125.82799999999999,7.4228,02/08/2017,"Wed - Aug 2, 2017",16:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),16:00 - 16:59,Wednesday,Highway Residential,10,Highway Pedestrian,40,Highway Primary,40,Hospital,60,Highway,70
18,125.803,7.46735,02/08/2017,"Wed - Aug 2, 2017",20:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,La Filipina,Tagum City,Swpu (Stolen While Parked),20:00 - 20:59,Wednesday,Highway Secondary,30,Cemetery,70,Highway Residential,120,,,,
19,125.765,7.44395,03/08/2017,"Thu - Aug 3, 2017",2:30:00,RAPE (Art. 266-A RC & R.A.8353),San Miguel (Camp 4),Tagum City,Not Indicated,02:00 - 02:59,Thursday,Highway,100,Highway Secondary,300,Highway Residential,400,Hotel,400,Tourist Attraction,800
20,125.685,7.31493,03/08/2017,"Thu - Aug 3, 2017",21:40:00,MURDER,San Francisco (Pob.),Panabo City,Shooting,21:00 - 21:59,Thursday,Commercial Building,30,Highway Residential,70,Highway Tertiary,70,Residential Building,120,Gas Station,130
21,125.802,7.4595199999999995,03/08/2017,"Thu - Aug 3, 2017",4:45:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo West,Tagum City,Swpu (Stolen While Parked),04:00 - 04:59,Thursday,Highway Residential,40,Highway Secondary,80,Highway,110,Highway Pedestrian,110,Marketplace,120
22,125.773,7.46944,05/08/2017,"Sat - Aug 5, 2017",0:30:00,RAPE (Art. 266-A RC & R.A.8353),Mankilam,Tagum City,Not Indicated,00:00 - 00:59,Saturday,Highway Primary,400,Road,700,Commercial Building,800,Highway Residential,800,Residential Building,800
23,125.81200000000001,7.39756,05/08/2017,"Sat - Aug 5, 2017",16:30:00,THEFT,La Filipina,Tagum City,Salisi,16:00 - 16:59,Saturday,Highway Residential,1100,Residential Building,1100,Cemetery,1200,Highway Tertiary,1200,Highway Secondary,1400
24,125.809,7.381130000000001,06/08/2017,"Sun - Aug 6, 2017",21:48:00,MURDER,Madaum,Tagum City,Shooting,21:00 - 21:59,Sunday,Highway Residential,30,Highway Tertiary,150,Commercial Building,170,Highway Primary,190,Residential Building,200
25,125.639,7.28525,07/08/2017,"Mon - Aug 7, 2017",10:30:00,THEFT,Kiotoy,Panabo City,Salisi (Others),10:00 - 10:59,Monday,Commercial Building,100,Greenfield,160,Highway,400,Highway Pedestrian,400,Highway Tertiary,400
26,125.79700000000001,7.44712,07/08/2017,"Mon - Aug 7, 2017",11:15:00,ROBBERY,Magugpo South,Tagum City,Breaking and Entering,11:00 - 11:59,Monday,Highway Residential,30,Highway Tertiary,30,Commercial Building,300,Fire Station,300,Highway Pedestrian,300
27,125.804,7.443510000000001,07/08/2017,"Mon - Aug 7, 2017",20:30:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),20:00 - 20:59,Monday,Highway Tertiary,40,School,80,Government Office,120,Restaurant,140,Bar,160
28,125.774,7.4669,08/08/2017,"Tue - Aug 8, 2017",0:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,Swpu (Stolen While Parked),00:00 - 00:59,Tuesday,Highway Primary,180,Highway Residential,500,Residential Building,500,School,600,Commercial Building,1000
29,125.836,7.416689999999999,08/08/2017,"Tue - Aug 8, 2017",17:05:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),17:00 - 17:59,Tuesday,Highway Residential,20,Highway Primary,50,Police Station,150,,,,
30,125.681,7.29955,08/08/2017,"Tue - Aug 8, 2017",17:00:00,PHYSICAL INJURIES,New Pandan (Pob.),Panabo City,Stoning,17:00 - 17:59,Tuesday,Park,0,Highway Pedestrian,10,Highway Tertiary,20,Commercial Building,30,Sports Center,40
31,125.772,7.46475,09/08/2017,"Wed - Aug 9, 2017",3:54:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,Swpu (Stolen While Parked),03:00 - 03:59,Wednesday,Highway Primary,140,Highway Residential,400,Residential Building,400,School,600,Highway,900
32,125.779,7.3899,09/08/2017,"Wed - Aug 9, 2017",3:00:00,RAPE (Art. 266-A RC & R.A.8353),San Isidro,Tagum City,Not Indicated,03:00 - 03:59,Wednesday,Highway Residential,600,Bridge,700,Highway Pedestrian,700,Highway Primary,700,Residential Building,700
33,125.615,7.336760000000001,09/08/2017,"Wed - Aug 9, 2017",8:00:00,MURDER,New Malitbog,Panabo City,Shooting,08:00 - 08:59,Wednesday,Highway Primary,10,Commercial Building,20,Highway,80,Highway Residential,90,Road,140
34,125.8,7.47628,09/08/2017,"Wed - Aug 9, 2017",4:00:00,ROBBERY,La Filipina,Tagum City,Hold-Up W/ Sharp Object,04:00 - 04:59,Wednesday,Residential Building,80,Cemetery,100,Highway Residential,100,Highway Pedestrian,150,,
35,125.61399999999999,7.33484,09/08/2017,"Wed - Aug 9, 2017",13:45:00,PHYSICAL INJURIES,New Malitbog,Panabo City,Mauling,13:00 - 13:59,Wednesday,Highway,50,Commercial Building,70,School,130,Road,170,Highway Residential,180
36,125.822,7.43005,09/08/2017,"Wed - Aug 9, 2017",3:30:00,ROBBERY,Apokon,Tagum City,Hold-Up W/ Sharp Object,03:00 - 03:59,Wednesday,Residential Building,20,Highway Residential,60,Highway,70,Highway Tertiary,90,School,160
37,125.805,7.45005,09/08/2017,"Wed - Aug 9, 2017",8:20:00,Drug Related Incident (RA 9165),Magugpo Poblacion,Tagum City,Not Indicated,08:00 - 08:59,Wednesday,Highway Primary,10,Highway Tertiary,20,Commercial Building,30,Mall,50,Community Center,60
38,125.667,7.273689999999999,11/08/2017,"Fri - Aug 11, 2017",14:50:00,Drug Related Incident (RA 9165),J.P. Laurel,Panabo City,Not Indicated,14:00 - 14:59,Friday,Commercial Building,50,Highway Residential,150,Recreational Area,190,School,190,,
39,125.73200000000001,7.08264,12/08/2017,"Sat - Aug 12, 2017",21:11:00,Drug Related Incident (RA 9165),Licup,Samal City,Not Indicated,21:00 - 21:59,Saturday,Church,300,Government Office,300,Highway Tertiary,300,Highway,400,Residential Building,400
40,125.70700000000001,7.292489999999999,12/08/2017,"Sat - Aug 12, 2017",21:10:00,THEFT,San Pedro,Panabo City,Salisi,21:00 - 21:59,Saturday,Commercial Building,100,Highway Tertiary,160,Church,300,Hotel,300,Bridge,400
41,125.77600000000001,7.462219999999999,12/08/2017,"Sat - Aug 12, 2017",6:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,Swpu (Stolen While Parked),06:00 - 06:59,Saturday,Residential Building,0,Highway Residential,10,School,100,,,,
42,125.81200000000001,7.44233,12/08/2017,"Sat - Aug 12, 2017",6:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),06:00 - 06:59,Saturday,Highway Residential,100,Residential Building,120,Commercial Building,160,,,,
43,125.804,7.4577800000000005,13/08/2017,"Sun - Aug 13, 2017",7:30:00,ROBBERY,Magugpo West,Tagum City,Crowbar/Destroying Lock,07:00 - 07:59,Sunday,Highway Residential,20,Commercial Building,120,Hotel,140,Highway Secondary,160,,
44,125.818,7.452139999999999,13/08/2017,"Sun - Aug 13, 2017",11:30:00,PHYSICAL INJURIES,Magugpo East,Tagum City,Hacking,11:00 - 11:59,Sunday,Highway Residential,60,School,100,Commercial Building,140,Highway Tertiary,180,,
45,125.686,7.3062,13/08/2017,"Sun - Aug 13, 2017",17:50:00,THEFT,Santo Niño (Pob.),Panabo City,Shoplifting,17:00 - 17:59,Sunday,Commercial Building,0,Mall,0,Highway Tertiary,30,Greenfield,70,Highway Residential,90
46,125.67,7.283189999999999,13/08/2017,"Sun - Aug 13, 2017",21:30:00,Drug Related Incident (RA 9165),J.P. Laurel,Panabo City,Not Indicated,21:00 - 21:59,Sunday,Highway,10,Commercial Building,20,Police Station,20,Highway Residential,30,Industrial Building,50
47,125.803,7.45005,13/08/2017,"Sun - Aug 13, 2017",22:30:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Mauling,22:00 - 22:59,Sunday,Commercial Building,10,Highway Residential,10,Gas Station,30,Highway Tertiary,30,Highway,40
48,125.773,7.44435,13/08/2017,"Sun - Aug 13, 2017",19:00:00,PHYSICAL INJURIES,San Miguel (Camp 4),Tagum City,Stabbing/Hacking,19:00 - 19:59,Sunday,Highway Residential,80,Highway Secondary,140,Highway,190,,,,
49,125.79700000000001,7.452369999999999,13/08/2017,"Sun - Aug 13, 2017",23:00:00,ROBBERY,Magugpo East,Tagum City,Hold-Up W/ Sharp Object,23:00 - 23:59,Sunday,Highway Residential,50,Highway Tertiary,160,Church,300,Commercial Building,300,Gas Station,300
50,125.73299999999999,7.08245,14/08/2017,"Mon - Aug 14, 2017",10:00:00,MURDER,Licup,Samal City,Shooting,10:00 - 10:59,Monday,Highway Tertiary,100,Government Office,150,School,160,Church,170,,
51,125.588,7.3086199999999995,14/08/2017,"Mon - Aug 14, 2017",12:00:00,THEFT,Kauswagan,Panabo City,Salisi,12:00 - 12:59,Monday,Highway Residential,300,School,400,Commercial Building,500,Highway Tertiary,500,Residential Building,500
52,125.771,6.9161600000000005,14/08/2017,"Mon - Aug 14, 2017",6:00:00,THEFT,San Remigio,Samal City,Salisi (Establishment),06:00 - 06:59,Monday,Highway Tertiary,300,Residential Building,300,Government Office,400,Sports Center,400,Beach,600
53,125.805,7.44384,15/08/2017,"Tue - Aug 15, 2017",0:30:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Mauling,00:00 - 00:59,Tuesday,Highway Tertiary,10,Restaurant,30,Highway Residential,90,School,110,Commercial Building,150
54,125.77600000000001,7.46214,15/08/2017,"Tue - Aug 15, 2017",12:30:00,Drug Related Incident (RA 9165),Mankilam,Tagum City,Not Indicated,12:00 - 12:59,Tuesday,Residential Building,0,Highway Residential,20,School,100,,,,
55,125.80799999999999,7.43543,15/08/2017,"Tue - Aug 15, 2017",16:00:00,ROBBERY,Visayan Village,Tagum City,Breaking and Entering,16:00 - 16:59,Tuesday,Residential Building,10,Highway Residential,40,Sports Center,190,,,,
56,125.67200000000001,7.328310000000001,15/08/2017,"Tue - Aug 15, 2017",16:30:00,Drug Related Incident (RA 9165),Quezon,Panabo City,Not Indicated,16:00 - 16:59,Tuesday,Highway,80,Commercial Building,140,Highway Residential,170,Greenfield,180,,
57,125.671,7.3282,15/08/2017,"Tue - Aug 15, 2017",16:30:00,Drug Related Incident (RA 9165),Quezon,Panabo City,Not Indicated,16:00 - 16:59,Tuesday,Commercial Building,60,Highway Residential,60,Highway,170,Greenfield,180,,
58,125.773,7.46656,15/08/2017,"Tue - Aug 15, 2017",20:00:00,RAPE (Art. 266-A RC & R.A.8353),Mankilam,Tagum City,Not Indicated,20:00 - 20:59,Tuesday,Highway Primary,100,Highway Residential,500,Residential Building,500,School,600,Commercial Building,900
59,125.806,7.43307,16/08/2017,"Wed - Aug 16, 2017",2:38:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),02:00 - 02:59,Wednesday,Highway Residential,50,Residential Building,50,Park,140,Sports Center,140,,
60,125.79899999999999,7.46041,16/08/2017,"Wed - Aug 16, 2017",14:00:00,THEFT,Magugpo West,Tagum City,Salisi,14:00 - 14:59,Wednesday,Commercial Building,30,Highway,30,Highway Pedestrian,30,Bank,40,Highway Tertiary,90
61,125.818,7.4508,16/08/2017,"Wed - Aug 16, 2017",18:40:00,Drug Related Incident (RA 9165),Magugpo East,Tagum City,Not Indicated,18:00 - 18:59,Wednesday,Highway Residential,30,Highway Tertiary,50,Hotel,180,School,180,,
62,125.811,7.4352100000000005,16/08/2017,"Wed - Aug 16, 2017",19:30:00,MURDER,Visayan Village,Tagum City,Shooting,19:00 - 19:59,Wednesday,Residential Building,0,Highway Residential,50,Highway Tertiary,150,School,160,,
63,125.68299999999999,7.30041,16/08/2017,"Wed - Aug 16, 2017",4:30:00,THEFT,New Pandan (Pob.),Panabo City,Salisi (Establishment),04:00 - 04:59,Wednesday,Commercial Building,10,Highway Pedestrian,40,Highway Tertiary,40,Highway,50,Bank,80
64,125.803,7.4313899999999995,17/08/2017,"Thu - Aug 17, 2017",18:34:00,PHYSICAL INJURIES,Visayan Village,Tagum City,Mauling,18:00 - 18:59,Thursday,Highway Residential,50,Residential Building,100,Commercial Building,140,,,,
65,125.79899999999999,7.46108,17/08/2017,"Thu - Aug 17, 2017",13:00:00,THEFT,Magugpo West,Tagum City,Salisi,13:00 - 13:59,Thursday,Highway Pedestrian,10,Transport Terminal,10,Highway,50,Commercial Building,70,Bank,80
66,125.805,7.447430000000001,17/08/2017,"Thu - Aug 17, 2017",7:00:00,THEFT,Magugpo Poblacion,Tagum City,Salisi,07:00 - 07:59,Thursday,Highway Tertiary,10,School,20,Commercial Building,30,Restaurant,50,Park,60
67,125.818,7.43929,18/08/2017,"Fri - Aug 18, 2017",17:30:00,PHYSICAL INJURIES,Apokon,Tagum City,Mauling,17:00 - 17:59,Friday,Highway Residential,20,Residential Building,70,Highway Primary,120,Highway,130,Commercial Building,190
68,125.824,7.4938199999999995,19/08/2017,"Sat - Aug 19, 2017",17:25:00,PHYSICAL INJURIES,Cuambogan,Tagum City,Shooting,17:00 - 17:59,Saturday,Commercial Building,150,Highway Tertiary,300,Highway Residential,600,Government Office,800,Highway,800
69,125.736,7.040030000000001,19/08/2017,"Sat - Aug 19, 2017",22:00:00,PHYSICAL INJURIES,Del Monte,Samal City,Hacking,22:00 - 22:59,Saturday,Highway Secondary,170,Highway,300,Clinic,400,Highway Tertiary,400,Sports Center,400
70,125.677,7.29904,19/08/2017,"Sat - Aug 19, 2017",21:10:00,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,Not Indicated,21:00 - 21:59,Saturday,Commercial Building,10,Highway Residential,20,Road,30,Residential Building,130,Highway Secondary,160
71,125.758,7.06882,19/08/2017,"Sat - Aug 19, 2017",8:00:00,RAPE (Art. 266-A RC & R.A.8353),Guilon,Samal City,"Force, Threat and Intimidation",08:00 - 08:59,Saturday,Road,300,Highway,500,Highway Tertiary,500,Residential Building,500,,
72,125.8,7.458819999999999,20/08/2017,"Sun - Aug 20, 2017",2:30:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Shooting,02:00 - 02:59,Sunday,Highway Residential,20,Residential Building,20,Highway,200,,,,
73,125.801,7.43337,20/08/2017,"Sun - Aug 20, 2017",7:00:00,ROBBERY,Visayan Village,Tagum City,Breaking and Entering,07:00 - 07:59,Sunday,Commercial Building,10,Highway Residential,20,Residential Building,40,School,80,Highway,200
74,125.78299999999999,7.45982,20/08/2017,"Sun - Aug 20, 2017",15:20:00,Drug Related Incident (RA 9165),Mankilam,Tagum City,Not Indicated,15:00 - 15:59,Sunday,Commercial Building,30,Government Office,30,Highway Pedestrian,70,School,80,Highway Primary,120
75,125.804,7.44448,20/08/2017,"Sun - Aug 20, 2017",20:47:00,Drug Related Incident (RA 9165),Magugpo Poblacion,Tagum City,Not Indicated,20:00 - 20:59,Sunday,School,10,Highway Tertiary,50,Bar,70,Commercial Building,70,Highway Residential,100
76,125.79899999999999,7.46046,20/08/2017,"Sun - Aug 20, 2017",2:00:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Stabbing/Hacking,02:00 - 02:59,Sunday,Highway,20,Highway Pedestrian,20,Commercial Building,30,Bank,40,Highway Tertiary,80
77,125.81200000000001,7.455710000000001,20/08/2017,"Sun - Aug 20, 2017",15:45:00,THEFT,Magugpo North,Tagum City,Salisi,15:00 - 15:59,Sunday,Highway Residential,10,Highway Tertiary,120,Residential Building,120,Convenience Store,150,Commercial Building,190
78,125.8,7.47763,21/08/2017,"Mon - Aug 21, 2017",7:42:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,La Filipina,Tagum City,Swpu (Stolen While Parked),07:00 - 07:59,Monday,Residential Building,20,Cemetery,60,Highway Residential,60,Highway Pedestrian,160,,
79,125.785,7.41445,21/08/2017,"Mon - Aug 21, 2017",18:40:00,THEFT,Canocotan,Tagum City,Cable/Electric Meter,18:00 - 18:59,Monday,Highway,50,Highway Tertiary,130,,,,,,
80,125.666,7.27338,22/08/2017,"Tue - Aug 22, 2017",16:05:00,Drug Related Incident (RA 9165),J.P. Laurel,Panabo City,Not Indicated,16:00 - 16:59,Tuesday,Commercial Building,170,Greenfield,200,,,,,,
81,125.822,7.43584,22/08/2017,"Tue - Aug 22, 2017",11:30:00,ROBBERY,Apokon,Tagum City,Breaking and Entering,11:00 - 11:59,Tuesday,Highway Residential,10,Residential Building,10,Highway Primary,100,Highway Tertiary,110,Hotel,110
82,125.804,7.4314800000000005,22/08/2017,"Tue - Aug 22, 2017",5:00:00,ROBBERY,Visayan Village,Tagum City,With Violence Against or Intimidation of Persons,05:00 - 05:59,Tuesday,Highway Residential,40,Residential Building,100,Commercial Building,200,,,,
83,125.818,7.4489,22/08/2017,"Tue - Aug 22, 2017",16:30:00,ROBBERY,Magugpo East,Tagum City,Breaking and Entering,16:00 - 16:59,Tuesday,Highway Residential,40,Hotel,110,Highway Pedestrian,130,School,170,Highway Tertiary,180
84,125.801,7.4362,22/08/2017,"Tue - Aug 22, 2017",18:39:00,HOMICIDE,Visayan Village,Tagum City,Shooting,18:00 - 18:59,Tuesday,Highway,10,Highway Residential,40,Residential Building,70,Commercial Building,80,Police Station,80
85,125.802,7.427110000000001,22/08/2017,"Tue - Aug 22, 2017",19:00:00,PHYSICAL INJURIES,Visayan Village,Tagum City,Stabbing/Hacking,19:00 - 19:59,Tuesday,Highway Residential,10,Residential Building,300,Commercial Building,400,Greenfield,500,Gas Station,700
86,125.805,7.4466,23/08/2017,"Wed - Aug 23, 2017",15:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),15:00 - 15:59,Wednesday,Highway Tertiary,20,Commercial Building,50,Convenience Store,50,Hotel,50,Park,60
87,125.814,7.456160000000001,23/08/2017,"Wed - Aug 23, 2017",22:00:00,PHYSICAL INJURIES,Magugpo North,Tagum City,Stabbing/Hacking,22:00 - 22:59,Wednesday,Highway Residential,10,Commercial Building,40,Hotel,40,Highway Tertiary,60,Convenience Store,100
88,125.795,7.456580000000001,23/08/2017,"Wed - Aug 23, 2017",19:25:00,MURDER,Mankilam,Tagum City,Shooting,19:00 - 19:59,Wednesday,Highway Residential,10,Highway Primary,120,Highway Tertiary,120,Commercial Building,140,Marketplace,140
89,125.65899999999999,7.321560000000001,23/08/2017,"Wed - Aug 23, 2017",17:00:00,Drug Related Incident (RA 9165),Datu Abdul Dadia,Panabo City,Not Indicated,17:00 - 17:59,Wednesday,Bridge,300,Commercial Building,300,Highway,300,Highway Residential,300,Road,300
90,125.78299999999999,7.4626,24/08/2017,"Thu - Aug 24, 2017",8:50:00,ROBBERY,Visayan Village,Tagum City,Breaking and Entering,08:00 - 08:59,Thursday,Residential Building,0,Highway Residential,10,Hotel,90,Highway Primary,160,School,160
91,125.588,7.3976,24/08/2017,"Thu - Aug 24, 2017",9:30:00,PHYSICAL INJURIES,A. O. Floirendo,Panabo City,Mauling,09:00 - 09:59,Thursday,Highway Tertiary,90,Highway Residential,500,Residential Building,600,Bridge,700,Highway,700
92,125.81700000000001,7.46005,25/08/2017,"Fri - Aug 25, 2017",7:45:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo South,Tagum City,Swpu (Stolen While Parked),07:00 - 07:59,Friday,Highway Residential,10,Highway Tertiary,20,School,80,Gas Station,190,,
93,125.75200000000001,7.091989999999999,25/08/2017,"Fri - Aug 25, 2017",0:30:00,PHYSICAL INJURIES,Tagbitan-Ag,Samal City,Shooting,00:00 - 00:59,Friday,Highway,40,Highway Tertiary,170,School,900,Church,1000,Residential Building,1000
94,125.80799999999999,7.448119999999999,25/08/2017,"Fri - Aug 25, 2017",14:30:00,THEFT,Magugpo Poblacion,Tagum City,Plain Theft,14:00 - 14:59,Friday,Highway Primary,10,Highway Tertiary,10,Clinic,30,Commercial Building,30,Gas Station,50
95,125.789,7.422689999999999,25/08/2017,"Fri - Aug 25, 2017",16:35:00,Drug Related Incident (RA 9165),Canocotan,Tagum City,Not Indicated,16:00 - 16:59,Friday,Residential Building,60,Highway Secondary,70,Highway,120,Bar,160,Sports Center,200
96,125.835,7.47107,26/08/2017,"Sat - Aug 26, 2017",1:00:00,THEFT,Magdum,Tagum City,Plain Theft,01:00 - 01:59,Saturday,Commercial Building,20,Industrial Building,30,Highway Residential,60,Highway,170,Community Center,200
97,125.803,7.41748,26/08/2017,"Sat - Aug 26, 2017",9:04:00,MURDER,Visayan Village,Tagum City,Shooting,09:00 - 09:59,Saturday,Highway,60,Highway Secondary,70,Residential Building,100,Highway Tertiary,170,,
98,125.686,7.306260000000001,26/08/2017,"Sat - Aug 26, 2017",11:00:00,THEFT,Santo Niño (Pob.),Panabo City,Shoplifting,11:00 - 11:59,Saturday,Commercial Building,10,Mall,10,Highway Tertiary,30,Greenfield,70,Highway Residential,90
99,125.822,7.4168,27/08/2017,"Sun - Aug 27, 2017",4:30:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),04:00 - 04:59,Sunday,Residential Building,30,Highway Secondary,50,Highway Tertiary,50,Highway Primary,70,Highway Pedestrian,80
100,125.757,6.92391,27/08/2017,"Sun - Aug 27, 2017",21:00:00,PHYSICAL INJURIES,Libertad,Samal City,Hacking,21:00 - 21:59,Sunday,Highway,400,Highway Tertiary,500,Highway Residential,800,Residential Building,800,Convenience Store,900
101,125.806,7.4419699999999995,27/08/2017,"Sun - Aug 27, 2017",3:00:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Stabbing/Hacking,03:00 - 03:59,Sunday,Commercial Building,10,Mall,10,Hotel,30,Highway Pedestrian,40,Highway,50
102,125.805,7.44716,27/08/2017,"Sun - Aug 27, 2017",21:05:00,THEFT,Magugpo Poblacion,Tagum City,Shoplifting,21:00 - 21:59,Sunday,School,20,Commercial Building,30,Highway Tertiary,30,Pharmacy,50,Restaurant,50
103,125.81299999999999,7.457839999999999,27/08/2017,"Sun - Aug 27, 2017",22:30:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo North,Tagum City,Swpu (Stolen While Parked),22:00 - 22:59,Sunday,Highway Residential,10,Highway Tertiary,130,Convenience Store,180,,,,
104,125.78200000000001,7.46088,27/08/2017,"Sun - Aug 27, 2017",23:00:00,PHYSICAL INJURIES,Mankilam,Tagum City,Mauling,23:00 - 23:59,Sunday,School,0,Highway Primary,70,Residential Building,70,Highway Residential,90,Hotel,120
