,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Household,number of households","Household,total annual household expenditure","Household,total annual household income","Housing,dwelling tenure status,Own house rent lot","Housing,dwelling tenure status,Own house rent,free lot with consent of owner","Housing,dwelling tenure status,Own house rent,free lot without consent of owner","Housing,dwelling tenure status,Own or owner,like possession of house and lot","Housing,dwelling tenure status,Rent house/ room including lot","Housing,dwelling tenure status,Rent,free house and lot with consent of owner","Housing,dwelling tenure status,Rent,free house and lot without consent of owner","Housing,occupied housing,Commercial/industrial/agricultural,household","Housing,occupied housing,Commercial/industrial/agricultural,population","Housing,occupied housing,Duplex,household","Housing,occupied housing,Duplex,population","Housing,occupied housing,Institutional living quarter,household","Housing,occupied housing,Institutional living quarter,population","Housing,occupied housing,Multiunit residential,household","Housing,occupied housing,Multiunit residential,population","Housing,occupied housing,Not Reported,household","Housing,occupied housing,Not Reported,population","Housing,occupied housing,Others,household","Housing,occupied housing,Others,population","Housing,occupied housing,Single house,household","Housing,occupied housing,Single house,population"
0,125.80799999999999,7.44808,30/07/2017,"Sun - Jul 30, 2017",16:11:00,Vehicular Traffic Accident,Magugpo Poblacion,Tagum City,Not Indicated,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
1,125.803,7.44675,30/07/2017,"Sun - Jul 30, 2017",0:20:00,MURDER,Magugpo Poblacion,Tagum City,Stabbing/Hacking,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
2,125.803,7.44897,30/07/2017,"Sun - Jul 30, 2017",0:20:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Stabbing/Hacking,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
3,125.818,7.45982,30/07/2017,"Sun - Jul 30, 2017",20:50:00,MURDER,Magugpo North,Tagum City,Shooting,urban,7.19,2229,423495749,550544473,32,352,31,1516,121,173,3,4,15,158,640,1,3,161,559,1,5,0,0,1904,8364
4,125.818,7.460160000000001,30/07/2017,"Sun - Jul 30, 2017",20:50:00,PHYSICAL INJURIES,Magugpo North,Tagum City,Shooting,urban,7.19,2229,423495749,550544473,32,352,31,1516,121,173,3,4,15,158,640,1,3,161,559,1,5,0,0,1904,8364
5,125.665,7.30998,31/07/2017,"Mon - Jul 31, 2017",12:40:00,Drug Related Incident (RA 9165),New Visayas,Panabo City,Not Indicated,urban,22.54,"3,937",748118548,972554112,56,622,54,"2,679",215,306,6,2,9,282,1134,0,0,304,1178,2,9,0,1,3347,14600
6,125.708,7.099530000000001,31/07/2017,"Mon - Jul 31, 2017",15:00:00,THEFT,Mambago-A,Samal City,Salisi (Cellphone),rural,5.24,473,89862766,116821595,7,75,7,322,26,37,1,0,2,24,89,0,0,7,27,0,0,0,0,441,1774
7,125.804,7.44707,31/07/2017,"Mon - Jul 31, 2017",12:45:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
8,125.801,7.4462399999999995,31/07/2017,"Mon - Jul 31, 2017",16:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo South,Tagum City,Swpu (Stolen While Parked),urban,8.33,"2,584",490935996,638216795,37,408,36,"1,758",141,201,4,5,17,183,742,1,3,186,648,1,5,0,0,2208,9695
9,125.8,7.431539999999999,01/08/2017,"Tue - Aug 1, 2017",0:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
10,125.675,7.297810000000001,01/08/2017,"Tue - Aug 1, 2017",0:35:00,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,Not Indicated,urban,22.51,"3,932",747079870,971203832,56,621,54,"2,675",214,306,6,2,9,281,1132,0,0,304,1176,2,9,0,1,3342,14580
11,125.779,7.3913199999999994,01/08/2017,"Tue - Aug 1, 2017",17:18:00,MURDER,San Isidro,Tagum City,Shooting,rural,3.69,1144,217367895,282578263,16,181,16,778,62,89,2,2,8,81,329,0,1,83,287,1,2,0,0,977,4293
12,125.804,7.444839999999999,01/08/2017,"Tue - Aug 1, 2017",22:30:00,PHYSICAL INJURIES,Magugpo South,Tagum City,Mauling,urban,8.33,"2,584",490935996,638216795,37,408,36,"1,758",141,201,4,5,17,183,742,1,3,186,648,1,5,0,0,2208,9695
13,125.802,7.445010000000001,01/08/2017,"Tue - Aug 1, 2017",16:45:00,THEFT,Magugpo South,Tagum City,Salisi,urban,8.33,"2,584",490935996,638216795,37,408,36,"1,758",141,201,4,5,17,183,742,1,3,186,648,1,5,0,0,2208,9695
14,125.806,7.446219999999999,01/08/2017,"Tue - Aug 1, 2017",9:40:00,THEFT,Magugpo Poblacion,Tagum City,Salisi,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
15,125.68,7.28751,02/08/2017,"Wed - Aug 2, 2017",11:30:00,Drug Related Incident (RA 9165),Cagangohan,Panabo City,Not Indicated,urban,18.74,"3,274",622122487,808759233,46,517,45,"2,228",178,255,5,2,7,234,943,0,0,253,980,2,8,0,1,2783,12141
16,125.671,7.2965100000000005,02/08/2017,"Wed - Aug 2, 2017",15:35:00,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,Not Indicated,urban,22.51,"3,932",747079870,971203832,56,621,54,"2,675",214,306,6,2,9,281,1132,0,0,304,1176,2,9,0,1,3342,14580
17,125.82799999999999,7.4228,02/08/2017,"Wed - Aug 2, 2017",16:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),urban,22.88,"7,095","1,348,034,466","1,752,444,806",101,"1,121",98,"4,827",387,552,10,13,47,502,"2,038",3,8,512,"1,778",4,15,0,0,6062,26622
18,125.803,7.46735,02/08/2017,"Wed - Aug 2, 2017",20:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,La Filipina,Tagum City,Swpu (Stolen While Parked),urban,11.84,"3,671",697517078,906772201,52,580,51,"2,498",200,285,5,7,24,260,1055,2,4,265,920,2,8,0,0,3136,13775
19,125.765,7.44395,03/08/2017,"Thu - Aug 3, 2017",2:30:00,RAPE (Art. 266-A RC & R.A.8353),San Miguel (Camp 4),Tagum City,Not Indicated,urban,13.32,"4,131",784854011,1020310214,59,653,57,"2,810",225,321,6,8,27,292,1187,2,5,298,1035,2,9,0,0,3529,15500
20,125.685,7.31493,03/08/2017,"Thu - Aug 3, 2017",21:40:00,MURDER,San Francisco (Pob.),Panabo City,Shooting,urban,17.46,"3,050",579491561,753339030,43,482,42,"2,075",166,237,4,2,7,218,878,0,0,236,912,2,7,0,1,2592,11309
21,125.802,7.4595199999999995,03/08/2017,"Thu - Aug 3, 2017",4:45:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo West,Tagum City,Swpu (Stolen While Parked),urban,10.74,"3,331",632932163,822811812,47,526,46,"2,266",182,259,5,6,22,236,957,1,4,240,835,2,7,0,0,2846,12500
22,125.773,7.46944,05/08/2017,"Sat - Aug 5, 2017",0:30:00,RAPE (Art. 266-A RC & R.A.8353),Mankilam,Tagum City,Not Indicated,urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
23,125.81200000000001,7.39756,05/08/2017,"Sat - Aug 5, 2017",16:30:00,THEFT,La Filipina,Tagum City,Salisi,urban,11.84,"3,671",697517078,906772201,52,580,51,"2,498",200,285,5,7,24,260,1055,2,4,265,920,2,8,0,0,3136,13775
24,125.809,7.381130000000001,06/08/2017,"Sun - Aug 6, 2017",21:48:00,MURDER,Madaum,Tagum City,Shooting,urban,8.25,"2,557",485905171,631676723,36,404,35,"1,740",139,199,4,5,17,181,735,1,3,184,641,1,5,0,0,2185,9596
25,125.639,7.28525,07/08/2017,"Mon - Aug 7, 2017",10:30:00,THEFT,Kiotoy,Panabo City,Salisi (Others),rural,2.04,357,67784978,88120471,5,56,5,243,19,28,1,0,1,26,103,0,0,28,107,0,1,0,0,303,1323
26,125.79700000000001,7.44712,07/08/2017,"Mon - Aug 7, 2017",11:15:00,ROBBERY,Magugpo South,Tagum City,Breaking and Entering,urban,8.33,"2,584",490935996,638216795,37,408,36,"1,758",141,201,4,5,17,183,742,1,3,186,648,1,5,0,0,2208,9695
27,125.804,7.443510000000001,07/08/2017,"Mon - Aug 7, 2017",20:30:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
28,125.774,7.4669,08/08/2017,"Tue - Aug 8, 2017",0:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,Swpu (Stolen While Parked),urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
29,125.836,7.416689999999999,08/08/2017,"Tue - Aug 8, 2017",17:05:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),urban,22.88,"7,095","1,348,034,466","1,752,444,806",101,"1,121",98,"4,827",387,552,10,13,47,502,"2,038",3,8,512,"1,778",4,15,0,0,6062,26622
30,125.681,7.29955,08/08/2017,"Tue - Aug 8, 2017",17:00:00,PHYSICAL INJURIES,New Pandan (Pob.),Panabo City,Stoning,urban,9.03,1577,299680954,389585240,22,249,22,1073,86,123,2,1,3,113,454,0,0,122,472,1,4,0,0,1341,5849
31,125.772,7.46475,09/08/2017,"Wed - Aug 9, 2017",3:54:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,Swpu (Stolen While Parked),urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
32,125.779,7.3899,09/08/2017,"Wed - Aug 9, 2017",3:00:00,RAPE (Art. 266-A RC & R.A.8353),San Isidro,Tagum City,Not Indicated,rural,3.69,1144,217367895,282578263,16,181,16,778,62,89,2,2,8,81,329,0,1,83,287,1,2,0,0,977,4293
33,125.615,7.336760000000001,09/08/2017,"Wed - Aug 9, 2017",8:00:00,MURDER,New Malitbog,Panabo City,Shooting,rural,4.46,779,147943762,192326891,11,123,11,530,42,61,1,0,2,56,224,0,0,60,233,0,2,0,0,662,2887
34,125.8,7.47628,09/08/2017,"Wed - Aug 9, 2017",4:00:00,ROBBERY,La Filipina,Tagum City,Hold-Up W/ Sharp Object,urban,11.84,"3,671",697517078,906772201,52,580,51,"2,498",200,285,5,7,24,260,1055,2,4,265,920,2,8,0,0,3136,13775
35,125.61399999999999,7.33484,09/08/2017,"Wed - Aug 9, 2017",13:45:00,PHYSICAL INJURIES,New Malitbog,Panabo City,Mauling,rural,4.46,779,147943762,192326891,11,123,11,530,42,61,1,0,2,56,224,0,0,60,233,0,2,0,0,662,2887
36,125.822,7.43005,09/08/2017,"Wed - Aug 9, 2017",3:30:00,ROBBERY,Apokon,Tagum City,Hold-Up W/ Sharp Object,urban,22.88,"7,095","1,348,034,466","1,752,444,806",101,"1,121",98,"4,827",387,552,10,13,47,502,"2,038",3,8,512,"1,778",4,15,0,0,6062,26622
37,125.805,7.45005,09/08/2017,"Wed - Aug 9, 2017",8:20:00,Drug Related Incident (RA 9165),Magugpo Poblacion,Tagum City,Not Indicated,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
38,125.667,7.273689999999999,11/08/2017,"Fri - Aug 11, 2017",14:50:00,Drug Related Incident (RA 9165),J.P. Laurel,Panabo City,Not Indicated,urban,8.93,1559,296293963,385182152,22,246,21,1061,85,121,2,1,3,112,449,0,0,120,467,1,4,0,0,1325,5783
39,125.73200000000001,7.08264,12/08/2017,"Sat - Aug 12, 2017",21:11:00,Drug Related Incident (RA 9165),Licup,Samal City,Not Indicated,rural,2.54,229,43583196,56658155,3,36,3,156,12,18,0,0,1,11,43,0,0,4,13,0,0,0,0,214,860
40,125.70700000000001,7.292489999999999,12/08/2017,"Sat - Aug 12, 2017",21:10:00,THEFT,San Pedro,Panabo City,Salisi,urban,5.7,997,189355371,246161982,14,157,14,678,54,78,1,1,2,71,287,0,0,77,298,1,2,0,0,847,3695
41,125.77600000000001,7.462219999999999,12/08/2017,"Sat - Aug 12, 2017",6:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,Swpu (Stolen While Parked),urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
42,125.81200000000001,7.44233,12/08/2017,"Sat - Aug 12, 2017",6:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),urban,22.88,"7,095","1,348,034,466","1,752,444,806",101,"1,121",98,"4,827",387,552,10,13,47,502,"2,038",3,8,512,"1,778",4,15,0,0,6062,26622
43,125.804,7.4577800000000005,13/08/2017,"Sun - Aug 13, 2017",7:30:00,ROBBERY,Magugpo West,Tagum City,Crowbar/Destroying Lock,urban,10.74,"3,331",632932163,822811812,47,526,46,"2,266",182,259,5,6,22,236,957,1,4,240,835,2,7,0,0,2846,12500
44,125.818,7.452139999999999,13/08/2017,"Sun - Aug 13, 2017",11:30:00,PHYSICAL INJURIES,Magugpo East,Tagum City,Hacking,urban,11.1,"3,441",653871272,850032654,49,544,47,"2,341",188,268,5,6,23,243,989,1,4,248,862,2,7,0,0,2940,12913
45,125.686,7.3062,13/08/2017,"Sun - Aug 13, 2017",17:50:00,THEFT,Santo Niño (Pob.),Panabo City,Shoplifting,urban,5.89,1030,195632594,254322372,15,163,14,701,56,80,2,1,2,74,296,0,0,80,308,1,2,0,0,875,3818
46,125.67,7.283189999999999,13/08/2017,"Sun - Aug 13, 2017",21:30:00,Drug Related Incident (RA 9165),J.P. Laurel,Panabo City,Not Indicated,urban,8.93,1559,296293963,385182152,22,246,21,1061,85,121,2,1,3,112,449,0,0,120,467,1,4,0,0,1325,5783
47,125.803,7.45005,13/08/2017,"Sun - Aug 13, 2017",22:30:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Mauling,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
48,125.773,7.44435,13/08/2017,"Sun - Aug 13, 2017",19:00:00,PHYSICAL INJURIES,San Miguel (Camp 4),Tagum City,Stabbing/Hacking,urban,13.32,"4,131",784854011,1020310214,59,653,57,"2,810",225,321,6,8,27,292,1187,2,5,298,1035,2,9,0,0,3529,15500
49,125.79700000000001,7.452369999999999,13/08/2017,"Sun - Aug 13, 2017",23:00:00,ROBBERY,Magugpo East,Tagum City,Hold-Up W/ Sharp Object,urban,11.1,"3,441",653871272,850032654,49,544,47,"2,341",188,268,5,6,23,243,989,1,4,248,862,2,7,0,0,2940,12913
50,125.73299999999999,7.08245,14/08/2017,"Mon - Aug 14, 2017",10:00:00,MURDER,Licup,Samal City,Shooting,rural,2.54,229,43583196,56658155,3,36,3,156,12,18,0,0,1,11,43,0,0,4,13,0,0,0,0,214,860
51,125.588,7.3086199999999995,14/08/2017,"Mon - Aug 14, 2017",12:00:00,THEFT,Kauswagan,Panabo City,Salisi,rural,1.93,337,64081868,83306428,5,53,5,229,18,26,0,0,1,24,97,0,0,26,101,0,1,0,0,287,1251
52,125.771,6.9161600000000005,14/08/2017,"Mon - Aug 14, 2017",6:00:00,THEFT,San Remigio,Samal City,Salisi (Establishment),rural,6.25,564,107217604,139382885,8,89,8,384,31,44,1,0,2,28,106,0,0,9,33,0,1,0,0,527,2116
53,125.805,7.44384,15/08/2017,"Tue - Aug 15, 2017",0:30:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Mauling,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
54,125.77600000000001,7.46214,15/08/2017,"Tue - Aug 15, 2017",12:30:00,Drug Related Incident (RA 9165),Mankilam,Tagum City,Not Indicated,urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
55,125.80799999999999,7.43543,15/08/2017,"Tue - Aug 15, 2017",16:00:00,ROBBERY,Visayan Village,Tagum City,Breaking and Entering,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
56,125.67200000000001,7.328310000000001,15/08/2017,"Tue - Aug 15, 2017",16:30:00,Drug Related Incident (RA 9165),Quezon,Panabo City,Not Indicated,rural,6.33,1105,209948275,272932758,16,175,15,752,60,86,2,1,2,79,318,0,0,85,331,1,3,0,0,939,4097
57,125.671,7.3282,15/08/2017,"Tue - Aug 15, 2017",16:30:00,Drug Related Incident (RA 9165),Quezon,Panabo City,Not Indicated,rural,6.33,1105,209948275,272932758,16,175,15,752,60,86,2,1,2,79,318,0,0,85,331,1,3,0,0,939,4097
58,125.773,7.46656,15/08/2017,"Tue - Aug 15, 2017",20:00:00,RAPE (Art. 266-A RC & R.A.8353),Mankilam,Tagum City,Not Indicated,urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
59,125.806,7.43307,16/08/2017,"Wed - Aug 16, 2017",2:38:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
60,125.79899999999999,7.46041,16/08/2017,"Wed - Aug 16, 2017",14:00:00,THEFT,Magugpo West,Tagum City,Salisi,urban,10.74,"3,331",632932163,822811812,47,526,46,"2,266",182,259,5,6,22,236,957,1,4,240,835,2,7,0,0,2846,12500
61,125.818,7.4508,16/08/2017,"Wed - Aug 16, 2017",18:40:00,Drug Related Incident (RA 9165),Magugpo East,Tagum City,Not Indicated,urban,11.1,"3,441",653871272,850032654,49,544,47,"2,341",188,268,5,6,23,243,989,1,4,248,862,2,7,0,0,2940,12913
62,125.811,7.4352100000000005,16/08/2017,"Wed - Aug 16, 2017",19:30:00,MURDER,Visayan Village,Tagum City,Shooting,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
63,125.68299999999999,7.30041,16/08/2017,"Wed - Aug 16, 2017",4:30:00,THEFT,New Pandan (Pob.),Panabo City,Salisi (Establishment),urban,9.03,1577,299680954,389585240,22,249,22,1073,86,123,2,1,3,113,454,0,0,122,472,1,4,0,0,1341,5849
64,125.803,7.4313899999999995,17/08/2017,"Thu - Aug 17, 2017",18:34:00,PHYSICAL INJURIES,Visayan Village,Tagum City,Mauling,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
65,125.79899999999999,7.46108,17/08/2017,"Thu - Aug 17, 2017",13:00:00,THEFT,Magugpo West,Tagum City,Salisi,urban,10.74,"3,331",632932163,822811812,47,526,46,"2,266",182,259,5,6,22,236,957,1,4,240,835,2,7,0,0,2846,12500
66,125.805,7.447430000000001,17/08/2017,"Thu - Aug 17, 2017",7:00:00,THEFT,Magugpo Poblacion,Tagum City,Salisi,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
67,125.818,7.43929,18/08/2017,"Fri - Aug 18, 2017",17:30:00,PHYSICAL INJURIES,Apokon,Tagum City,Mauling,urban,22.88,"7,095","1,348,034,466","1,752,444,806",101,"1,121",98,"4,827",387,552,10,13,47,502,"2,038",3,8,512,"1,778",4,15,0,0,6062,26622
68,125.824,7.4938199999999995,19/08/2017,"Sat - Aug 19, 2017",17:25:00,PHYSICAL INJURIES,Cuambogan,Tagum City,Shooting,urban,8.16,"2,531",480964992,625254490,36,400,35,"1,722",138,197,4,5,17,179,727,1,3,183,634,1,5,0,0,2163,9498
69,125.736,7.040030000000001,19/08/2017,"Sat - Aug 19, 2017",22:00:00,PHYSICAL INJURIES,Del Monte,Samal City,Hacking,rural,5.47,494,93882813,122047657,7,78,7,336,27,38,1,0,2,25,92,0,0,8,29,0,0,0,0,461,1853
70,125.677,7.29904,19/08/2017,"Sat - Aug 19, 2017",21:10:00,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,Not Indicated,urban,22.51,"3,932",747079870,971203832,56,621,54,"2,675",214,306,6,2,9,281,1132,0,0,304,1176,2,9,0,1,3342,14580
71,125.758,7.06882,19/08/2017,"Sat - Aug 19, 2017",8:00:00,RAPE (Art. 266-A RC & R.A.8353),Guilon,Samal City,"Force, Threat and Intimidation",rural,4.44,401,76135775,98976507,6,63,6,273,22,31,1,0,1,20,75,0,0,6,23,0,0,0,0,374,1503
72,125.8,7.458819999999999,20/08/2017,"Sun - Aug 20, 2017",2:30:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Shooting,urban,10.74,"3,331",632932163,822811812,47,526,46,"2,266",182,259,5,6,22,236,957,1,4,240,835,2,7,0,0,2846,12500
73,125.801,7.43337,20/08/2017,"Sun - Aug 20, 2017",7:00:00,ROBBERY,Visayan Village,Tagum City,Breaking and Entering,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
74,125.78299999999999,7.45982,20/08/2017,"Sun - Aug 20, 2017",15:20:00,Drug Related Incident (RA 9165),Mankilam,Tagum City,Not Indicated,urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
75,125.804,7.44448,20/08/2017,"Sun - Aug 20, 2017",20:47:00,Drug Related Incident (RA 9165),Magugpo Poblacion,Tagum City,Not Indicated,urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
76,125.79899999999999,7.46046,20/08/2017,"Sun - Aug 20, 2017",2:00:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Stabbing/Hacking,urban,10.74,"3,331",632932163,822811812,47,526,46,"2,266",182,259,5,6,22,236,957,1,4,240,835,2,7,0,0,2846,12500
77,125.81200000000001,7.455710000000001,20/08/2017,"Sun - Aug 20, 2017",15:45:00,THEFT,Magugpo North,Tagum City,Salisi,urban,7.19,2229,423495749,550544473,32,352,31,1516,121,173,3,4,15,158,640,1,3,161,559,1,5,0,0,1904,8364
78,125.8,7.47763,21/08/2017,"Mon - Aug 21, 2017",7:42:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,La Filipina,Tagum City,Swpu (Stolen While Parked),urban,11.84,"3,671",697517078,906772201,52,580,51,"2,498",200,285,5,7,24,260,1055,2,4,265,920,2,8,0,0,3136,13775
79,125.785,7.41445,21/08/2017,"Mon - Aug 21, 2017",18:40:00,THEFT,Canocotan,Tagum City,Cable/Electric Meter,urban,6.26,1941,368745870,479369631,28,307,27,1320,106,151,3,4,13,137,558,1,2,140,486,1,4,0,0,1658,7282
80,125.666,7.27338,22/08/2017,"Tue - Aug 22, 2017",16:05:00,Drug Related Incident (RA 9165),J.P. Laurel,Panabo City,Not Indicated,urban,8.93,1559,296293963,385182152,22,246,21,1061,85,121,2,1,3,112,449,0,0,120,467,1,4,0,0,1325,5783
81,125.822,7.43584,22/08/2017,"Tue - Aug 22, 2017",11:30:00,ROBBERY,Apokon,Tagum City,Breaking and Entering,urban,22.88,"7,095","1,348,034,466","1,752,444,806",101,"1,121",98,"4,827",387,552,10,13,47,502,"2,038",3,8,512,"1,778",4,15,0,0,6062,26622
82,125.804,7.4314800000000005,22/08/2017,"Tue - Aug 22, 2017",5:00:00,ROBBERY,Visayan Village,Tagum City,With Violence Against or Intimidation of Persons,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
83,125.818,7.4489,22/08/2017,"Tue - Aug 22, 2017",16:30:00,ROBBERY,Magugpo East,Tagum City,Breaking and Entering,urban,11.1,"3,441",653871272,850032654,49,544,47,"2,341",188,268,5,6,23,243,989,1,4,248,862,2,7,0,0,2940,12913
84,125.801,7.4362,22/08/2017,"Tue - Aug 22, 2017",18:39:00,HOMICIDE,Visayan Village,Tagum City,Shooting,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
85,125.802,7.427110000000001,22/08/2017,"Tue - Aug 22, 2017",19:00:00,PHYSICAL INJURIES,Visayan Village,Tagum City,Stabbing/Hacking,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
86,125.805,7.4466,23/08/2017,"Wed - Aug 23, 2017",15:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),urban,2.43,755,143446495,186480443,11,119,10,514,41,59,1,1,5,53,217,0,1,54,189,0,2,0,0,645,2833
87,125.814,7.456160000000001,23/08/2017,"Wed - Aug 23, 2017",22:00:00,PHYSICAL INJURIES,Magugpo North,Tagum City,Stabbing/Hacking,urban,7.19,2229,423495749,550544473,32,352,31,1516,121,173,3,4,15,158,640,1,3,161,559,1,5,0,0,1904,8364
88,125.795,7.456580000000001,23/08/2017,"Wed - Aug 23, 2017",19:25:00,MURDER,Mankilam,Tagum City,Shooting,urban,29.97,"9,294","1,765,910,194","2,295,683,253",132,"1,468",128,"6,323",506,723,14,17,61,657,"2,670",4,11,670,"2,329",5,19,0,0,"7,941","34,875"
89,125.65899999999999,7.321560000000001,23/08/2017,"Wed - Aug 23, 2017",17:00:00,Drug Related Incident (RA 9165),Datu Abdul Dadia,Panabo City,Not Indicated,urban,7.88,1377,261611176,340094529,20,218,19,937,75,107,2,1,3,99,396,0,0,106,412,1,3,0,0,1170,5106
90,125.78299999999999,7.4626,24/08/2017,"Thu - Aug 24, 2017",8:50:00,ROBBERY,Visayan Village,Tagum City,Breaking and Entering,urban,31.0,"9,612","1,826,370,739","2,374,281,961",136,"1,519",132,"6,540",524,748,14,18,63,680,"2,762",4,11,693,"2,409",5,20,0,0,"8,212","36,069"
91,125.588,7.3976,24/08/2017,"Thu - Aug 24, 2017",9:30:00,PHYSICAL INJURIES,A. O. Floirendo,Panabo City,Mauling,urban,6.6,1152,218935091,284615618,16,182,16,784,63,90,2,1,3,82,332,0,0,89,345,1,3,0,0,979,4273
