,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Out of school youth","Education,Post baccalaureate","Education,Postsecondary","Household,number of households","Housing,dwelling tenure status,Own house rent lot","Housing,dwelling tenure status,Own house rent,free lot with consent of owner","Housing,dwelling tenure status,Own house rent,free lot without consent of owner","Housing,dwelling tenure status,Own or owner,like possession of house and lot","Housing,dwelling tenure status,Rent house/ room including lot","Housing,dwelling tenure status,Rent,free house and lot with consent of owner","Housing,dwelling tenure status,Rent,free house and lot without consent of owner","Labor,Employed","Labor,In the Labor Force","Labor,Not in the Labor Force","Labor,Underemployed","Labor,Unemployed","Poverty,poverty incidence by employed","Poverty,poverty incidence by household","Poverty,poverty incidence by population","Poverty,poverty incidence by unemployed",placetype_rural,placetype_urban,Children Population,Teenage Population,Adult Population,Retiree Population,Female Children Population,Female Teenage Population,Female Adult Population,Female Retiree Population,Male Children Population,Male Teenage Population,Male Adult Population,Male Retiree Population
"Housing,dwelling tenure status,Own house rent,free lot with consent of owner",0.9999995897920659,0.9999993550047812,0.999999661522634,0.9999996251994181,0.999932581824922,0.9999990231500785,0.9983903733624045,0.9999968643761934,0.9999996295427693,0.9999303358630881,1.0,0.9999215715886808,0.9999996311050035,0.9999965983744185,0.9999988527142387,0.9796570760157202,0.9999996727460128,0.9999996569593734,0.9999996304887304,0.9999993821520136,0.9999977628234265,0.9999995596692353,0.999998970332547,0.9999996795495378,0.9999315997645337,-0.5173654676931058,0.5173654676931058,0.9999996319354054,0.9999996685146145,0.9999995922743687,0.9999992415335112,0.9999997286972774,0.9999996393762652,0.9999995149783688,0.9999983638216169,0.9999994026589082,0.9999995252469662,0.9999997267906042,0.9999973450500859
"Housing,dwelling tenure status,Own house rent,free lot without consent of owner",0.9999257052830703,0.9999249082511182,0.9999230386351576,0.9999255565794225,0.9998326341203216,0.9999269388763056,0.9982718519414933,0.9999229174203137,0.99992472473487,0.9997919048043059,0.9999215715886808,1.0,0.9999243652142413,0.9999157485121194,0.999927366171597,0.9789047300302838,0.9999251894519087,0.9999251885786815,0.9999257129980269,0.9999224135053075,0.9999234136344821,0.999924835701328,0.9999237115791737,0.9999249012814067,0.9998449376439843,-0.5152104812538162,0.5152104812538162,0.9999243969863311,0.9999250191042868,0.9999265323498222,0.9999219007785437,0.9999248840365785,0.9999240157213809,0.9999275061029834,0.9999187894869099,0.999923419923924,0.999926377784461,0.9999243947701937,0.9999092882120914
"Housing,dwelling tenure status,Own or owner,like possession of house and lot",0.999999858533755,0.9999998425200972,0.9999999382352244,0.9999999755026239,0.9999325091129774,0.9999995343206962,0.9984107306747516,0.9999974137056389,0.9999999623127216,0.9999274571568267,0.9999996311050035,0.9999243652142413,1.0,0.9999970024436827,0.9999992235787962,0.9796453291549467,0.9999999688802249,0.9999999836184092,0.9999999805190295,0.9999997913541473,0.99999853603368,0.9999998809065344,0.9999994533050769,0.9999999681069945,0.9999309364334469,-0.5173890623047609,0.5173890623047609,0.999999919221638,0.9999999455266926,0.9999999466651842,0.9999994828911719,0.9999999051826312,0.999999907406472,0.9999998390749418,0.9999984254608274,0.9999997711794856,0.999999861252161,0.9999999314039842,0.999997479571918
"Housing,dwelling tenure status,Rent house/ room including lot",0.9999967883538694,0.9999969848945242,0.9999972082946459,0.9999969397034078,0.9999349990595945,0.9999965514872271,0.9984099142584841,0.9999940187738574,0.9999971986438083,0.9999261762110535,0.9999965983744185,0.9999157485121194,0.9999970024436827,1.0,0.9999959934240894,0.9797263580165856,0.9999971130284334,0.9999969610602767,0.9999970341679758,0.9999969923090032,0.9999970401517545,0.9999968164995185,0.9999979153265693,0.999997029882447,0.9999390496671151,-0.5173855273741383,0.5173855273741383,0.9999969130609585,0.9999969705308576,0.9999969769630089,0.9999972691883345,0.9999970725133986,0.9999967178320607,0.999996384439806,0.9999962285222287,0.9999966291198721,0.9999967001585489,0.9999969154700022,0.9999961993108345
"Housing,dwelling tenure status,Rent,free house and lot with consent of owner",0.9999991378008204,0.9999990029087922,0.9999991402148043,0.9999992694810983,0.999932805818863,0.9999989978968873,0.9983956715740624,0.9999963350985495,0.999999174832325,0.9999265812302914,0.9999988527142387,0.999927366171597,0.9999992235787962,0.9999959934240894,1.0,0.9796009297690079,0.9999992086348166,0.9999991980352643,0.9999992879912145,0.9999987536822863,0.9999974415491812,0.9999990133145052,0.9999985100025192,0.9999991976592005,0.9999338910982496,-0.5175454260392104,0.5175454260392104,0.9999989755410603,0.9999992304796833,0.999999241610511,0.9999983450891349,0.9999991029440188,0.9999990594752478,0.9999992048424836,0.999997627947757,0.99999909113219,0.9999990836510532,0.9999991108312871,0.9999970841719649
"Housing,dwelling tenure status,Rent,free house and lot without consent of owner",0.9796909852496312,0.9796495853868749,0.979662604040204,0.9796327799637211,0.9791720449645305,0.9796860570421925,0.9779077550310777,0.9793252541626167,0.9796403756829407,0.9805263731214102,0.9796570760157202,0.9789047300302838,0.9796453291549467,0.9797263580165856,0.9796009297690079,1.0,0.9796354659497625,0.9796431847360687,0.979627239894635,0.9796733616120817,0.9796338644652759,0.9796048029546883,0.9796375899235753,0.979646522689598,0.9808200052173659,-0.5214308961034892,0.5214308961034892,0.9796251606446577,0.9796425805291256,0.9796221169355307,0.9796869713124894,0.9796528226020003,0.9796484558259321,0.9796356748378512,0.9797580704668355,0.9796363911466033,0.9796720544249677,0.979637951657225,0.9797205447388054
"Labor,Employed",0.9999998707903025,0.9999998327071722,0.9999999441642522,0.9999999852152357,0.9999326994615465,0.999999563401043,0.998408172687993,0.9999974861532284,0.9999999915527725,0.9999273559049893,0.9999996727460128,0.9999251894519087,0.9999999688802249,0.9999971130284334,0.9999992086348166,0.9796354659497625,1.0,0.9999999900339384,0.9999999804956202,0.9999997754201444,0.9999986157757846,0.9999998650912929,0.9999994588938506,0.9999999835734661,0.9999317780636107,-0.5173849266835367,0.5173849266835367,0.9999999553163567,0.999999971238913,0.99999998322257,0.9999995650797552,0.9999999379051053,0.9999998910007819,0.999999898071632,0.9999984491461013,0.9999997975998969,0.9999998840993278,0.9999999233023823,0.999997503763748
"Labor,In the Labor Force",0.9999998889289371,0.9999998466318687,0.9999999537297576,0.9999999874636147,0.999932430973121,0.9999995973897047,0.9984094758945253,0.9999974106676213,0.9999999798658625,0.9999277665778535,0.9999996569593734,0.9999251885786815,0.9999999836184092,0.9999969610602767,0.9999991980352643,0.9796431847360687,0.9999999900339384,1.0,0.9999999821865625,0.9999998029295125,0.9999985310579373,0.9999998671877373,0.9999994172298905,0.9999999852298395,0.9999313048399636,-0.5173635484189832,0.5173635484189832,0.9999999482573317,0.9999999742311046,0.9999999724180316,0.9999995157782579,0.9999999327755756,0.9999999131188879,0.9999998879295664,0.9999984606351976,0.9999998127602713,0.999999900350611,0.9999999275452335,0.9999973900923252
"Labor,Not in the Labor Force",0.9999998758066928,0.9999998462924977,0.9999999172048267,0.9999999845374388,0.9999321515210414,0.9999995450624457,0.9984082477120401,0.9999974728440172,0.9999999696280975,0.9999269603930906,0.9999996304887304,0.9999257129980269,0.9999999805190295,0.9999970341679758,0.9999992879912145,0.979627239894635,0.9999999804956202,0.9999999821865625,1.0,0.9999997657913067,0.9999985667204867,0.9999998863429066,0.9999994881268637,0.9999999718131605,0.9999311089030928,-0.5173511929654805,0.5173511929654805,0.9999999235126674,0.999999959212969,0.999999976775615,0.9999994545334064,0.9999999230136677,0.9999998754735964,0.999999864935841,0.9999984202270356,0.9999997795664289,0.9999998874545794,0.9999999376724297,0.9999973989945146
"Labor,Underemployed",0.9999997291510548,0.9999998244696194,0.9999997968019207,0.9999997599204136,0.9999343681227538,0.9999992367451239,0.9984200212995629,0.9999970883747318,0.999999781865556,0.9999288454926856,0.9999993821520136,0.9999224135053075,0.9999997913541473,0.9999969923090032,0.9999987536822863,0.9796733616120817,0.9999997754201444,0.9999998029295125,0.9999997657913067,1.0,0.9999983717878328,0.9999996036733055,0.9999995017796618,0.9999997726891362,0.9999332522444463,-0.5174346389087784,0.5174346389087784,0.9999997739514984,0.9999998176612765,0.9999997298280389,0.999999437130021,0.99999979201594,0.9999997069186464,0.999999559755418,0.9999984843217514,0.9999996838469796,0.9999997159683992,0.9999997420348052,0.999997249753434
"Labor,Unemployed",0.9999983075823959,0.9999984489091278,0.9999984023153243,0.9999985243075312,0.9999338369473787,0.9999981711850723,0.9984180500202601,0.9999973534694366,0.9999986368852484,0.9999181511912886,0.9999977628234265,0.9999234136344821,0.99999853603368,0.9999970401517545,0.9999974415491812,0.9796338644652759,0.9999986157757846,0.9999985310579373,0.9999985667204867,0.9999983717878328,1.0,0.9999987136902309,0.9999988037348733,0.9999985669757948,0.9999345767033472,-0.5174333145775025,0.5174333145775025,0.9999985540909881,0.9999983630344734,0.9999986013000336,0.9999986285886648,0.9999984498048257,0.999998034976016,0.9999984854275794,0.9999967457535374,0.999998299727232,0.9999984463279847,0.9999984030790989,0.9999963714701962
"Poverty,poverty incidence by employed",0.9999996832615005,0.999999722440374,0.9999997851202019,0.9999998639290996,0.9999322976523983,0.9999993445759682,0.9984078318133095,0.999997833710593,0.9999998465905561,0.9999257725340894,0.9999995596692353,0.999924835701328,0.9999998809065344,0.9999968164995185,0.9999990133145052,0.9796048029546883,0.9999998650912929,0.9999998671877373,0.9999998863429066,0.9999996036733055,0.9999987136902309,1.0,0.999999448804055,0.9999998575565672,0.9999288188400239,-0.5173288405769471,0.5173288405769471,0.9999998693999415,0.9999997973529071,0.9999998544398145,0.9999994774756834,0.999999776597654,0.9999997656980054,0.9999997217205411,0.9999983183243552,0.9999996231492798,0.9999997298875772,0.9999998337177416,0.9999972512462693
"Poverty,poverty incidence by household",0.9999993126273201,0.9999995986830139,0.9999993662355875,0.9999993886207362,0.9999325316336525,0.9999988547616017,0.9984199014860868,0.9999968254189388,0.9999994846469425,0.9999272975123938,0.999998970332547,0.9999237115791737,0.9999994533050769,0.9999979153265693,0.9999985100025192,0.9796375899235753,0.9999994588938506,0.9999994172298905,0.9999994881268637,0.9999995017796618,0.9999988037348733,0.999999448804055,1.0,0.9999994497210983,0.999935214530437,-0.5175453606374542,0.5175453606374542,0.9999994463518702,0.9999993927633789,0.9999994609141188,0.9999993695067522,0.999999429021979,0.9999992656447518,0.9999991448060579,0.9999982865886458,0.9999991191200561,0.9999992982441693,0.9999994353704661,0.9999974781680887
"Poverty,poverty incidence by population",0.9999998955148582,0.9999998182672348,0.999999931724078,0.9999999766742258,0.9999315839995436,0.9999995880796835,0.9984074883290442,0.9999973655089298,0.9999999790153512,0.9999278425521475,0.9999996795495378,0.9999249012814067,0.9999999681069945,0.999997029882447,0.9999991976592005,0.979646522689598,0.9999999835734661,0.9999999852298395,0.9999999718131605,0.9999997726891362,0.9999985669757948,0.9999998575565672,0.9999994497210983,1.0,0.9999315736842045,-0.5173674339359274,0.5173674339359274,0.9999999319684807,0.9999999702384087,0.9999999706512501,0.9999995688717596,0.9999999305769381,0.9999998935709357,0.9999998786359897,0.9999984817297881,0.9999998204237909,0.9999998864777006,0.9999999369230965,0.9999973906991343
"Poverty,poverty incidence by unemployed",0.9999328453662489,0.9999319196142897,0.9999324931373543,0.9999309062626133,0.9998682418302625,0.999932632505333,0.9982756346098697,0.9999176242781596,0.9999318733273421,0.9999128433950939,0.9999315997645337,0.9998449376439843,0.9999309364334469,0.9999390496671151,0.9999338910982496,0.9808200052173659,0.9999317780636107,0.9999313048399636,0.9999311089030928,0.9999332522444463,0.9999345767033472,0.9999288188400239,0.999935214530437,0.9999315736842045,1.0,-0.5195484258547755,0.5195484258547755,0.9999310020340009,0.999931790444822,0.999931363516813,0.9999345314690163,0.999933009085543,0.9999296596397982,0.9999318051034616,0.9999361725541833,0.9999312485629605,0.999932138661502,0.9999304314600914,0.9999360517176084
placetype_rural,-0.517264385538252,-0.5175814649257288,-0.5173920047777458,-0.5173887576180197,-0.5197674655321199,-0.5173638040682338,-0.5360889570681321,-0.5169871210907028,-0.5174335299413512,-0.5182032340200425,-0.5173654676931058,-0.5152104812538162,-0.5173890623047609,-0.5173855273741383,-0.5175454260392104,-0.5214308961034892,-0.5173849266835367,-0.5173635484189832,-0.5173511929654805,-0.5174346389087784,-0.5174333145775025,-0.5173288405769471,-0.5175453606374542,-0.5173674339359274,-0.5195484258547755,1.0,-1.0,-0.5174018702479686,-0.517418294791558,-0.517409515575859,-0.5175142020605953,-0.517348769849242,-0.5174500164122576,-0.5173481166372242,-0.5171331140855895,-0.517292692462241,-0.5173580225503183,-0.5173260337332635,-0.5180164110128703
placetype_urban,0.517264385538252,0.5175814649257288,0.5173920047777458,0.5173887576180197,0.5197674655321199,0.5173638040682338,0.5360889570681321,0.5169871210907028,0.5174335299413512,0.5182032340200425,0.5173654676931058,0.5152104812538162,0.5173890623047609,0.5173855273741383,0.5175454260392104,0.5214308961034892,0.5173849266835367,0.5173635484189832,0.5173511929654805,0.5174346389087784,0.5174333145775025,0.5173288405769471,0.5175453606374542,0.5173674339359274,0.5195484258547755,-1.0,1.0,0.5174018702479686,0.517418294791558,0.517409515575859,0.5175142020605953,0.517348769849242,0.5174500164122576,0.5173481166372242,0.5171331140855895,0.517292692462241,0.5173580225503183,0.5173260337332635,0.5180164110128703
Children Population,0.9999997750777722,0.9999998417058483,0.9999999188708361,0.9999999283060829,0.9999330045048265,0.9999995357622253,0.9984123374260073,0.9999976350602966,0.9999999507777341,0.99992801064955,0.9999996319354054,0.9999243969863311,0.999999919221638,0.9999969130609585,0.9999989755410603,0.9796251606446577,0.9999999553163567,0.9999999482573317,0.9999999235126674,0.9999997739514984,0.9999985540909881,0.9999998693999415,0.9999994463518702,0.9999999319684807,0.9999310020340009,-0.5174018702479686,0.5174018702479686,1.0,0.9999999269385557,0.9999999410288593,0.9999995987042942,0.9999998659342382,0.9999998860165725,0.9999998370889475,0.9999985512524472,0.9999997470251597,0.999999846148144,0.9999998577664674,0.9999975592232963
Teenage Population,0.9999998807528101,0.9999998520928879,0.9999999451932963,0.9999999681404547,0.9999327988429045,0.9999995472293856,0.9984087958161636,0.9999972968247771,0.9999999700375819,0.9999280757175931,0.9999996685146145,0.9999250191042868,0.9999999455266926,0.9999969705308576,0.9999992304796833,0.9796425805291256,0.999999971238913,0.9999999742311046,0.999999959212969,0.9999998176612765,0.9999983630344734,0.9999997973529071,0.9999993927633789,0.9999999702384087,0.999931790444822,-0.517418294791558,0.517418294791558,0.9999999269385557,1.0,0.9999999627492754,0.9999995030813479,0.9999999230631197,0.9999998901509013,0.9999998403129805,0.9999984996768968,0.9999998255832577,0.9999998936525675,0.9999999063376469,0.9999974080872857
Adult Population,0.9999998544815926,0.9999998480154809,0.9999998996689559,0.9999999798399261,0.9999319641353392,0.9999995890416536,0.9984107972434784,0.9999974774282545,0.9999999804793038,0.9999266357184613,0.9999995922743687,0.9999265323498222,0.9999999466651842,0.9999969769630089,0.999999241610511,0.9796221169355307,0.99999998322257,0.9999999724180316,0.999999976775615,0.9999997298280389,0.9999986013000336,0.9999998544398145,0.9999994609141188,0.9999999706512501,0.999931363516813,-0.517409515575859,0.517409515575859,0.9999999410288593,0.9999999627492754,1.0,0.9999995012772425,0.9999999013195707,0.9999998619228027,0.9999999033774142,0.9999984192129019,0.9999997757953659,0.9999998936916112,0.999999901964513,0.9999973789770743
Retiree Population,0.9999993655396099,0.9999993877012583,0.9999995012277447,0.9999994858532147,0.9999318939632088,0.9999989812806139,0.9983983107606723,0.9999970511494429,0.9999995768277676,0.9999282824335204,0.9999992415335112,0.9999219007785437,0.9999994828911719,0.9999972691883345,0.9999983450891349,0.9796869713124894,0.9999995650797552,0.9999995157782579,0.9999994545334064,0.999999437130021,0.9999986285886648,0.9999994774756834,0.9999993695067522,0.9999995688717596,0.9999345314690163,-0.5175142020605953,0.5175142020605953,0.9999995987042942,0.9999995030813479,0.9999995012772425,1.0,0.999999518039535,0.9999994169538395,0.9999994177752015,0.9999982213247319,0.9999994223478512,0.9999994020500067,0.9999994341782382,0.9999976525131695
Female Children Population,0.9999998719514188,0.9999997268242742,0.9999998797115707,0.9999999249309204,0.9999319772556758,0.9999993640531856,0.998400308519141,0.9999971548853392,0.999999916746918,0.999928030679038,0.9999997286972774,0.9999248840365785,0.9999999051826312,0.9999970725133986,0.9999991029440188,0.9796528226020003,0.9999999379051053,0.9999999327755756,0.9999999230136677,0.99999979201594,0.9999984498048257,0.999999776597654,0.999999429021979,0.9999999305769381,0.999933009085543,-0.517348769849242,0.517348769849242,0.9999998659342382,0.9999999230631197,0.9999999013195707,0.999999518039535,1.0,0.9999998132719738,0.9999998384999419,0.9999982443362794,0.9999997593351069,0.99999982543836,0.9999999371542756,0.9999971779088249
Female Teenage Population,0.9999998042650396,0.9999998026955146,0.9999998828988859,0.9999999017485616,0.9999324177798022,0.9999995202200499,0.9984138534818623,0.9999970959469846,0.9999998892464625,0.9999289596588539,0.9999996393762652,0.9999240157213809,0.999999907406472,0.9999967178320607,0.9999990594752478,0.9796484558259321,0.9999998910007819,0.9999999131188879,0.9999998754735964,0.9999997069186464,0.999998034976016,0.9999997656980054,0.9999992656447518,0.9999998935709357,0.9999296596397982,-0.5174500164122576,0.5174500164122576,0.9999998860165725,0.9999998901509013,0.9999998619228027,0.9999994169538395,0.9999998132719738,1.0,0.9999997702297866,0.9999983223600127,0.999999712395881,0.9999997946311393,0.9999998572259414,0.999997457408476
Female Adult Population,0.9999998290547836,0.9999996484462511,0.9999997890908269,0.9999998971250161,0.9999304413225023,0.999999548182735,0.9984054302709789,0.9999972244325647,0.9999998691168364,0.9999263840281593,0.9999995149783688,0.9999275061029834,0.9999998390749418,0.999996384439806,0.9999992048424836,0.9796356748378512,0.999999898071632,0.9999998879295664,0.999999864935841,0.999999559755418,0.9999984854275794,0.9999997217205411,0.9999991448060579,0.9999998786359897,0.9999318051034616,-0.5173481166372242,0.5173481166372242,0.9999998370889475,0.9999998403129805,0.9999999033774142,0.9999994177752015,0.9999998384999419,0.9999997702297866,1.0,0.9999981889149274,0.9999996795562317,0.9999998112052019,0.9999997984436606,0.9999972635191454
Female Retiree Population,0.9999985630917775,0.9999986231524545,0.9999986262378854,0.999998314776049,0.9999302521755443,0.9999986239322729,0.9984304532182504,0.9999950119101982,0.9999984599492374,0.9999366038498035,0.9999983638216169,0.9999187894869099,0.9999984254608274,0.9999962285222287,0.999997627947757,0.9797580704668355,0.9999984491461013,0.9999984606351976,0.9999984202270356,0.9999984843217514,0.9999967457535374,0.9999983183243552,0.9999982865886458,0.9999984817297881,0.9999361725541833,-0.5171331140855895,0.5171331140855895,0.9999985512524472,0.9999984996768968,0.9999984192129019,0.9999982213247319,0.9999982443362794,0.9999983223600127,0.9999981889149274,1.0,0.9999981101130674,0.9999985787646739,0.9999982477716075,0.9999975066738717
Male Children Population,0.9999996890523574,0.9999995763151471,0.9999997457212542,0.9999998305069374,0.999931784724441,0.9999993751623139,0.9983972214097179,0.9999975155162624,0.9999998025822934,0.9999274834224896,0.9999994026589082,0.999923419923924,0.9999997711794856,0.9999966291198721,0.99999909113219,0.9796363911466033,0.9999997975998969,0.9999998127602713,0.9999997795664289,0.9999996838469796,0.999998299727232,0.9999996231492798,0.9999991191200561,0.9999998204237909,0.9999312485629605,-0.517292692462241,0.517292692462241,0.9999997470251597,0.9999998255832577,0.9999997757953659,0.9999994223478512,0.9999997593351069,0.999999712395881,0.9999996795562317,0.9999981101130674,1.0,0.9999997498119146,0.999999739961765,0.9999970158285542
