,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Out of school youth","Education,Post baccalaureate","Education,Postsecondary","Household,number of households","Housing,dwelling tenure status,Own house rent lot","Housing,dwelling tenure status,Own house rent,free lot with consent of owner","Housing,dwelling tenure status,Own house rent,free lot without consent of owner","Housing,dwelling tenure status,Own or owner,like possession of house and lot","Housing,dwelling tenure status,Rent house/ room including lot","Housing,dwelling tenure status,Rent,free house and lot with consent of owner","Housing,dwelling tenure status,Rent,free house and lot without consent of owner","Labor,Employed","Labor,In the Labor Force","Labor,Not in the Labor Force","Labor,Underemployed","Labor,Unemployed","Poverty,poverty incidence by employed","Poverty,poverty incidence by household","Poverty,poverty incidence by population","Poverty,poverty incidence by unemployed",placetype_rural,placetype_urban,Children Population,Teenage Population,Adult Population,Retiree Population,Female Children Population,Female Teenage Population,Female Adult Population,Female Retiree Population,Male Children Population,Male Teenage Population,Male Adult Population,Male Retiree Population
"Housing,dwelling tenure status,Own house rent,free lot with consent of owner",0.9999999232542952,0.9999999020186363,0.9999999162835547,0.9999999390792383,0.9999935367470046,0.999999920784417,0.9999902086463001,0.9999998992683533,0.9999999207187563,0.9999907760835431,1.0,0.9999933003868895,0.9999999177726809,0.9999991241328754,0.999999776496416,0.9987468161492964,0.9999999242518546,0.9999999263856502,0.9999999252253627,0.9999998737251493,0.9999997276187822,0.9999999124732213,0.9999998870534382,0.9999999316316988,0.9999941792225899,-0.23397806065643556,0.23397806065643564,0.9999999352471671,0.9999999399253404,0.9999999391474919,0.9999998796158968,0.9999999293898881,0.9999999071057868,0.9999999383278989,0.9999997763641892,0.9999998841418756,0.9999998832499907,0.9999998798189536,0.999999775648071
"Housing,dwelling tenure status,Own house rent,free lot without consent of owner",0.999993239866263,0.9999932386465465,0.9999935389533484,0.999993333484814,0.9999766979832768,0.9999928749445852,0.9999954959334534,0.999993262266334,0.999993567028911,0.9999882903888534,0.9999933003868895,1.0,0.9999935410717798,0.9999935502150723,0.9999934642390491,0.9986578851090228,0.9999934000536103,0.9999934180652489,0.9999934299092827,0.9999931994496163,0.9999931429867674,0.9999933108731489,0.9999933086863412,0.9999935185802006,0.9999897394859383,-0.23446861852869377,0.23446861852869377,0.9999934643249917,0.9999934951519199,0.9999933587995362,0.9999929751343443,0.9999931503509157,0.9999934015734463,0.9999930112382421,0.9999944868852423,0.999993757430523,0.9999937134737749,0.9999933116533143,0.9999925974278031
"Housing,dwelling tenure status,Own or owner,like possession of house and lot",0.9999999845855844,0.9999999815452125,0.9999999931827386,0.999999994202829,0.9999935010642047,0.9999998997374345,0.9999908492994256,0.9999999308894847,0.9999999951565401,0.9999915892505258,0.9999999177726809,0.9999935410717798,1.0,0.999999266131191,0.9999998031254946,0.9987489130169022,0.9999999948660291,0.9999999951536023,0.9999999943847854,0.9999999724820511,0.999999802451788,0.9999999677757666,0.9999999663164331,0.999999993513443,0.9999944315115937,-0.23397753808999497,0.23397753808999497,0.999999988691196,0.999999993354336,0.999999993491725,0.9999999605944261,0.9999999592503205,0.9999999753155144,0.9999999704760514,0.9999997717980416,0.9999999741945342,0.999999974317016,0.9999999804915287,0.9999996401442589
"Housing,dwelling tenure status,Rent house/ room including lot",0.9999992511801898,0.9999992938147155,0.9999993022883871,0.9999992203899264,0.9999918282183861,0.9999989718211734,0.9999908793922101,0.9999992554917042,0.999999285419034,0.9999909464741735,0.9999991241328754,0.9999935502150723,0.999999266131191,1.0,0.9999991983961698,0.9987245567210162,0.9999992720819421,0.9999992684270308,0.9999992713892139,0.9999992262403932,0.9999986585532842,0.9999990782783481,0.9999991802879519,0.999999287671222,0.999994267099016,-0.23423077012902385,0.23423077012902388,0.9999993314790633,0.9999992614715413,0.9999992273553799,0.9999993071521148,0.9999990952875398,0.999999306458423,0.9999991873403934,0.9999986581255155,0.9999992040750821,0.9999992750552877,0.9999993815121178,0.9999985525332725
"Housing,dwelling tenure status,Rent,free house and lot with consent of owner",0.9999997631885399,0.9999997617008328,0.9999997896042804,0.999999801021142,0.9999929359058396,0.9999997100667133,0.9999913779426401,0.9999998294689999,0.9999997945771566,0.9999916665228321,0.999999776496416,0.9999934642390491,0.9999998031254946,0.9999991983961698,1.0,0.9987493415915928,0.999999799527464,0.9999998001477644,0.9999997924839977,0.9999997510016425,0.9999995867418456,0.9999997590824893,0.9999998013274908,0.9999998017394423,0.9999943670792104,-0.23399343647863732,0.2339934364786373,0.9999998191623733,0.9999998209455737,0.9999998145419361,0.9999997787403947,0.9999997419026617,0.9999998124604496,0.9999997932835742,0.9999995580891474,0.9999998281975323,0.9999997418611691,0.9999997802852916,0.9999994988981915
"Housing,dwelling tenure status,Rent,free house and lot without consent of owner",0.9987527975749526,0.9987534744539575,0.9987510442700144,0.998751289328777,0.9988094403362545,0.9987573175193128,0.9986497428908571,0.9987510604489425,0.9987508947147654,0.9987593544060028,0.9987468161492964,0.9986578851090228,0.9987489130169022,0.9987245567210162,0.9987493415915928,1.0,0.9987518165169118,0.9987519309127054,0.998751798871783,0.9987550291309759,0.9987517862051849,0.998755160491095,0.9987541542025379,0.998750105821155,0.9986688601449202,-0.23085668487490163,0.23085668487490166,0.9987509106746194,0.998748983297266,0.9987518142958413,0.9987540935871344,0.998755575684711,0.9987525322772243,0.9987542642038713,0.9987505927339807,0.9987525141806599,0.9987506922514713,0.9987517944869255,0.9987558837509022
"Labor,Employed",0.9999999944013829,0.9999999932016227,0.9999999970161373,0.9999999957542283,0.999993545029357,0.9999999152961758,0.9999905930928779,0.9999999433393085,0.9999999965056329,0.9999914818464627,0.9999999242518546,0.9999934000536103,0.9999999948660291,0.9999992720819421,0.999999799527464,0.9987518165169118,1.0,0.9999999989235514,0.9999999995678329,0.9999999839300534,0.9999997668455344,0.9999999737649539,0.9999999711266582,0.9999999978989018,0.9999943275438617,-0.23398768573549833,0.23398768573549833,0.9999999945948791,0.9999999898540614,0.9999999959017855,0.9999999693152088,0.9999999753530953,0.9999999862907764,0.9999999851565242,0.9999997722904991,0.9999999768351913,0.9999999800009858,0.9999999871322841,0.9999996628636679
"Labor,In the Labor Force",0.9999999911058928,0.9999999916563779,0.9999999961978278,0.9999999964434683,0.9999935381998452,0.9999999167984737,0.9999906120174514,0.9999999375251499,0.9999999978054073,0.9999915218683657,0.9999999263856502,0.9999934180652489,0.9999999951536023,0.9999992684270308,0.9999998001477644,0.9987519309127054,0.9999999989235514,1.0,0.9999999990937956,0.9999999793147158,0.9999997812487063,0.9999999730310557,0.9999999685128892,0.9999999978719111,0.9999942694046898,-0.23398109507759993,0.23398109507759993,0.999999994199817,0.999999993265206,0.9999999973230584,0.9999999633602964,0.9999999760255017,0.9999999833320093,0.999999981188547,0.9999997790757801,0.9999999779414852,0.9999999778729606,0.9999999847047631,0.999999668118283
"Labor,Not in the Labor Force",0.999999993662723,0.999999993674517,0.9999999969081392,0.9999999949568821,0.9999935235495608,0.9999999146611891,0.9999905774442033,0.9999999424121416,0.9999999976140219,0.9999914786292436,0.9999999252253627,0.9999934299092827,0.9999999943847854,0.9999992713892139,0.9999997924839977,0.998751798871783,0.9999999995678329,0.9999999990937956,1.0,0.9999999830871057,0.9999997632090237,0.9999999727378792,0.9999999698554534,0.9999999984277187,0.9999943423856671,-0.2339834427304061,0.2339834427304061,0.9999999944443905,0.9999999901493495,0.9999999955972758,0.9999999667773133,0.9999999757995456,0.9999999862376773,0.9999999839511182,0.9999997792194839,0.9999999776241483,0.9999999831295324,0.9999999865189603,0.9999996633276396
"Labor,Underemployed",0.9999999881909243,0.9999999884095939,0.9999999815753009,0.9999999758217801,0.9999935111230436,0.9999999066684976,0.9999903818199687,0.9999999336633746,0.9999999717192289,0.9999912237164768,0.9999998737251493,0.9999931994496163,0.9999999724820511,0.9999992262403932,0.9999997510016425,0.9987550291309759,0.9999999839300534,0.9999999793147158,0.9999999830871057,1.0,0.9999997029174533,0.9999999596827454,0.9999999472128529,0.9999999770680752,0.9999943550954691,-0.23395890525009264,0.23395890525009258,0.9999999720870091,0.9999999556691633,0.9999999735465603,0.9999999586453399,0.9999999668007234,0.999999974936996,0.9999999779143297,0.9999997319387108,0.9999999578862219,0.999999971124829,0.9999999693130481,0.9999996641577121
"Labor,Unemployed",0.9999997329249074,0.9999997183611877,0.9999997576581378,0.9999997971969705,0.9999936099786018,0.9999996966839717,0.9999905909704179,0.9999996386107267,0.9999997745696889,0.9999921657413998,0.9999997276187822,0.9999931429867674,0.999999802451788,0.9999986585532842,0.9999995867418456,0.9987517862051849,0.9999997668455344,0.9999997812487063,0.9999997632090237,0.9999997029174533,1.0,0.9999998245043412,0.9999997936435823,0.9999997645453937,0.999993198227511,-0.23387579013380713,0.23387579013380705,0.9999997543781126,0.9999998150383275,0.9999997963145536,0.9999996953654449,0.9999997537085826,0.9999997074430516,0.9999997121723627,0.9999996562008914,0.9999997712487789,0.9999996714380903,0.9999997270180621,0.9999995504683633
"Poverty,poverty incidence by employed",0.9999999699966048,0.9999999577533903,0.9999999680173622,0.9999999747439174,0.9999934846876221,0.9999999074229724,0.9999903224423495,0.9999999186767272,0.9999999656698864,0.9999915712732454,0.9999999124732213,0.9999933108731489,0.9999999677757666,0.9999990782783481,0.9999997590824893,0.998755160491095,0.9999999737649539,0.9999999730310557,0.9999999727378792,0.9999999596827454,0.9999998245043412,1.0,0.9999999688608077,0.9999999707820364,0.9999938720855944,-0.23397300856125294,0.23397300856125297,0.9999999625475248,0.9999999621520259,0.9999999762404366,0.9999999253828961,0.9999999665920853,0.9999999651843505,0.9999999622893593,0.9999998364584785,0.9999999687250892,0.9999999352516555,0.999999948863727,0.9999997331989596
"Poverty,poverty incidence by household",0.9999999616856571,0.9999999586381935,0.9999999631172694,0.99999996549409,0.9999935889132813,0.9999998749736219,0.9999902782616255,0.999999944160646,0.9999999649214609,0.999991616500077,0.9999998870534382,0.9999933086863412,0.9999999663164331,0.9999991802879519,0.9999998013274908,0.9987541542025379,0.9999999711266582,0.9999999685128892,0.9999999698554534,0.9999999472128529,0.9999997936435823,0.9999999688608077,1.0,0.9999999712513348,0.9999943001884982,-0.23396582893525042,0.23396582893525042,0.9999999685992024,0.9999999625924065,0.9999999715008099,0.9999999503080608,0.9999999368373531,0.9999999729850673,0.999999956223385,0.9999997727273897,0.9999999640279676,0.9999999399676589,0.9999999671562911,0.9999996012771758
"Poverty,poverty incidence by population",0.9999999898846228,0.9999999908684299,0.999999995998904,0.9999999936439389,0.9999934172131079,0.9999999105875638,0.9999906150049462,0.9999999451885268,0.9999999965470349,0.9999914794407925,0.9999999316316988,0.9999935185802006,0.999999993513443,0.999999287671222,0.9999998017394423,0.998750105821155,0.9999999978989018,0.9999999978719111,0.9999999984277187,0.9999999770680752,0.9999997645453937,0.9999999707820364,0.9999999712513348,1.0,0.9999943467065682,-0.23398323365998444,0.2339832336599845,0.9999999948875395,0.9999999919393308,0.9999999950387588,0.9999999591235815,0.9999999751782986,0.9999999867406804,0.9999999803816643,0.9999997916929136,0.999999980173037,0.9999999812130758,0.9999999840943747,0.9999996665964009
"Poverty,poverty incidence by unemployed",0.9999943543927627,0.9999943442119654,0.9999942926417279,0.9999943062802498,0.9999882595932428,0.9999941025233889,0.9999878984242572,0.999994657646474,0.9999943425595512,0.9999817303066659,0.9999941792225899,0.9999897394859383,0.9999944315115937,0.999994267099016,0.9999943670792104,0.9986688601449202,0.9999943275438617,0.9999942694046898,0.9999943423856671,0.9999943550954691,0.999993198227511,0.9999938720855944,0.9999943001884982,0.9999943467065682,1.0,-0.23384755395118015,0.23384755395118,0.9999943137504569,0.9999943293840288,0.9999942939320323,0.9999945474298427,0.9999939660519584,0.9999943416428027,0.999994415445456,0.9999935286479156,0.9999941643535941,0.9999946414897205,0.999994335997242,0.9999928978064007
placetype_rural,-0.23399562377301686,-0.2340119553742999,-0.23398479294190916,-0.23398577361683112,-0.23471830619939904,-0.234103676715587,-0.23487069475496475,-0.23406959071627623,-0.23398848330501495,-0.23497683922830806,-0.23397806065643556,-0.23446861852869377,-0.23397753808999497,-0.23423077012902385,-0.23399343647863732,-0.23085668487490163,-0.23398768573549833,-0.23398109507759993,-0.2339834427304061,-0.23395890525009264,-0.23387579013380713,-0.23397300856125294,-0.23396582893525042,-0.23398323365998444,-0.23384755395118015,1.0,-1.0,-0.23395899062000977,-0.23399459393823352,-0.23397038306115656,-0.23390832745364343,-0.23397167757585585,-0.23395255782001695,-0.23398767946771099,-0.23392687902139014,-0.23396275710999137,-0.2339696585442316,-0.233997955589896,-0.23389245678404033
placetype_urban,0.23399562377301686,0.23401195537430017,0.23398479294190916,0.23398577361683107,0.23471830619939904,0.23410367671558707,0.23487069475496475,0.23406959071627625,0.23398848330501495,0.2349768392283081,0.23397806065643564,0.23446861852869377,0.23397753808999497,0.23423077012902388,0.2339934364786373,0.23085668487490166,0.23398768573549833,0.23398109507759993,0.2339834427304061,0.23395890525009258,0.23387579013380705,0.23397300856125297,0.23396582893525042,0.2339832336599845,0.23384755395118,-1.0,1.0,0.23395899062000972,0.23399459393823382,0.23397038306115645,0.23390832745364343,0.23397167757585585,0.23395255782001695,0.2339876794677108,0.23392687902139014,0.23396275710999145,0.2339696585442316,0.23399795558989595,0.23389245678404008
Children Population,0.9999999875176633,0.9999999849259922,0.9999999931342409,0.9999999893696058,0.9999934244023919,0.9999999043984951,0.9999905753927496,0.9999999470514862,0.9999999923097503,0.9999913679330459,0.9999999352471671,0.9999934643249917,0.999999988691196,0.9999993314790633,0.9999998191623733,0.9987509106746194,0.9999999945948791,0.999999994199817,0.9999999944443905,0.9999999720870091,0.9999997543781126,0.9999999625475248,0.9999999685992024,0.9999999948875395,0.9999943137504569,-0.23395899062000977,0.23395899062000972,1.0,0.9999999874587359,0.9999999915771832,0.9999999718137838,0.9999999637182819,0.9999999868409466,0.9999999780817113,0.9999997627553238,0.9999999697520184,0.9999999719701882,0.9999999855368312,0.9999996625817756
Teenage Population,0.9999999763563285,0.9999999775337725,0.9999999855250494,0.9999999931145699,0.9999935439503114,0.9999999144147395,0.9999907211642537,0.9999999318575243,0.9999999922686231,0.9999915519052072,0.9999999399253404,0.9999934951519199,0.999999993354336,0.9999992614715413,0.9999998209455737,0.998748983297266,0.9999999898540614,0.999999993265206,0.9999999901493495,0.9999999556691633,0.9999998150383275,0.9999999621520259,0.9999999625924065,0.9999999919393308,0.9999943293840288,-0.23399459393823352,0.23399459393823382,0.9999999874587359,1.0,0.9999999942010741,0.9999999464859581,0.9999999652092417,0.9999999663091146,0.9999999693548407,0.9999997727854817,0.9999999695611002,0.9999999606894409,0.9999999713671734,0.9999996684358119
Adult Population,0.9999999900198187,0.9999999854175634,0.9999999914869478,0.9999999987963131,0.9999936086962871,0.9999999312371625,0.9999905514759327,0.9999999457272921,0.9999999928594703,0.9999913863304652,0.9999999391474919,0.9999933587995362,0.999999993491725,0.9999992273553799,0.9999998145419361,0.9987518142958413,0.9999999959017855,0.9999999973230584,0.9999999955972758,0.9999999735465603,0.9999997963145536,0.9999999762404366,0.9999999715008099,0.9999999950387588,0.9999942939320323,-0.23397038306115656,0.23397038306115645,0.9999999915771832,0.9999999942010741,1.0,0.9999999598251372,0.9999999747959996,0.9999999816386358,0.9999999848882132,0.9999997841075574,0.9999999734223691,0.9999999691173425,0.9999999759897321,0.9999996822449944
Retiree Population,0.9999999694850319,0.9999999620339928,0.9999999617467107,0.9999999586613446,0.9999938122051573,0.9999998594390157,0.9999902724133213,0.9999999099559842,0.9999999603992952,0.9999912172942479,0.9999998796158968,0.9999929751343443,0.9999999605944261,0.9999993071521148,0.9999997787403947,0.9987540935871344,0.9999999693152088,0.9999999633602964,0.9999999667773133,0.9999999586453399,0.9999996953654449,0.9999999253828961,0.9999999503080608,0.9999999591235815,0.9999945474298427,-0.23390832745364343,0.23390832745364343,0.9999999718137838,0.9999999464859581,0.9999999598251372,1.0,0.9999999200823326,0.9999999604941037,0.9999999649065359,0.9999996457914883,0.9999999201078626,0.9999999450656609,0.9999999713132283,0.9999995784973154
Female Children Population,0.9999999741222152,0.9999999763627628,0.9999999679500663,0.999999975911158,0.9999935389933897,0.9999999384053664,0.9999901381037478,0.9999999116554497,0.999999966745444,0.9999912382164234,0.9999999293898881,0.9999931503509157,0.9999999592503205,0.9999990952875398,0.9999997419026617,0.998755575684711,0.9999999753530953,0.9999999760255017,0.9999999757995456,0.9999999668007234,0.9999997537085826,0.9999999665920853,0.9999999368373531,0.9999999751782986,0.9999939660519584,-0.23397167757585585,0.23397167757585585,0.9999999637182819,0.9999999652092417,0.9999999747959996,0.9999999200823326,1.0,0.999999952728775,0.9999999773933277,0.9999997983885172,0.999999954659926,0.9999999481420994,0.9999999420757538,0.9999997571790087
Female Teenage Population,0.9999999828250837,0.9999999789794366,0.9999999864337507,0.9999999770632202,0.9999933939143281,0.9999998853191417,0.9999904769195527,0.9999999593503396,0.9999999803830335,0.9999914343702567,0.9999999071057868,0.9999934015734463,0.9999999753155144,0.999999306458423,0.9999998124604496,0.9987525322772243,0.9999999862907764,0.9999999833320093,0.9999999862376773,0.999999974936996,0.9999997074430516,0.9999999651843505,0.9999999729850673,0.9999999867406804,0.9999943416428027,-0.23395255782001695,0.23395255782001695,0.9999999868409466,0.9999999663091146,0.9999999816386358,0.9999999604941037,0.999999952728775,1.0,0.9999999746440013,0.9999997759460797,0.9999999759570287,0.9999999747997823,0.9999999837659349,0.9999996273454103
Female Adult Population,0.9999999913712758,0.9999999836933158,0.9999999750925693,0.999999985593934,0.9999938055225931,0.9999999470647458,0.9999901428797978,0.9999999566756362,0.9999999721731602,0.9999909897220254,0.9999999383278989,0.9999930112382421,0.9999999704760514,0.9999991873403934,0.9999997932835742,0.9987542642038713,0.9999999851565242,0.999999981188547,0.9999999839511182,0.9999999779143297,0.9999997121723627,0.9999999622893593,0.999999956223385,0.9999999803816643,0.999994415445456,-0.23398767946771099,0.2339876794677108,0.9999999780817113,0.9999999693548407,0.9999999848882132,0.9999999649065359,0.9999999773933277,0.9999999746440013,1.0,0.9999997388462488,0.9999999467645896,0.9999999589377355,0.9999999620139874,0.9999997043768261
Female Retiree Population,0.9999997505268783,0.9999997315679023,0.9999997742601422,0.9999997742203884,0.9999920541370404,0.9999997146652514,0.9999909833649149,0.9999997073596925,0.9999997849268061,0.9999917051730827,0.9999997763641892,0.9999944868852423,0.9999997717980416,0.9999986581255155,0.9999995580891474,0.9987505927339807,0.9999997722904991,0.9999997790757801,0.9999997792194839,0.9999997319387108,0.9999996562008914,0.9999998364584785,0.9999997727273897,0.9999997916929136,0.9999935286479156,-0.23392687902139014,0.23392687902139014,0.9999997627553238,0.9999997727854817,0.9999997841075574,0.9999996457914883,0.9999997983885172,0.9999997759460797,0.9999997388462488,1.0,0.9999998383860876,0.9999997796062355,0.999999702631208,0.9999996605451996
Male Children Population,0.9999999562668294,0.999999962590995,0.9999999763885232,0.9999999671000832,0.9999930546221381,0.9999998581858067,0.9999909272081697,0.9999999202170036,0.9999999794579858,0.9999919813580106,0.9999998841418756,0.999993757430523,0.9999999741945342,0.9999992040750821,0.9999998281975323,0.9987525141806599,0.9999999768351913,0.9999999779414852,0.9999999776241483,0.9999999578862219,0.9999997712487789,0.9999999687250892,0.9999999640279676,0.999999980173037,0.9999941643535941,-0.23396275710999137,0.23396275710999145,0.9999999697520184,0.9999999695611002,0.9999999734223691,0.9999999201078626,0.999999954659926,0.9999999759570287,0.9999999467645896,0.9999998383860876,1.0,0.9999999652321705,0.9999999626105373,0.9999996499264187
